freelancer_id,category,primary_skills,years_experience,experience_level,region,country,education,hourly_rate_usd,annual_income_usd,primary_platform,country_id
FL0418,Cybersecurity,"Security Audit, Penetration Testing, Cryptography",3.9,mid,Middle East,UAE,Master,119.5,123653.6,Direct Client,784
FL0419,DevOps,"Terraform, CI/CD, Docker",2.9,mid,Eastern Europe,Romania,Self-taught,64.38,65595.6,Upwork,642
FL0420,DevOps,"AWS, Docker, CI/CD",6.4,senior,Middle East,UAE,Bachelor,110.15,102607.75,Upwork,784
FL0421,DevOps,"Terraform, Azure, Kubernetes",9.8,senior,Asia Pacific,India,Bachelor,51.81,51480.91,Upwork,356
FL0422,Mobile Development,"Android, Flutter, Kotlin",6.5,senior,Latin America,Argentina,Bachelor,80.89,73711.66,Toptal,32
FL0423,DevOps,"Terraform, Azure, AWS",4.4,mid,Eastern Europe,Romania,Self-taught,64.29,66315.65,LinkedIn,642
FL0424,Backend Development,"C#, Go, Java",5.7,senior,North America,US,Master,170.81,179989.47,LinkedIn,840
FL0425,Data Engineering,"SQL, Spark, BigQuery",5.1,senior,North America,Canada,Bachelor,113.84,106579.52,Upwork,124
FL0426,AI/ML Engineering,"TensorFlow, NLP, Data Science",9.0,senior,Latin America,Brazil,Master,97.77,88599.51,Upwork,76
FL0427,AI/ML Engineering,"Computer Vision, NLP, PyTorch",2.1,mid,Asia Pacific,Philippines,PhD,50.11,46887.67,Direct Client,608
FL0428,Full Stack,"MongoDB, Node.js, GraphQL",6.4,senior,Western Europe,France,Master,131.05,118433.85,Fiverr,250
FL0429,Web Development,"Vue.js, JavaScript, HTML/CSS",2.5,mid,Asia Pacific,Philippines,Bachelor,32.25,27051.52,Fiverr,608
FL0430,Cybersecurity,"Security Audit, Network Security, Penetration Testing",2.4,mid,Asia Pacific,India,Bachelor,22.44,19806.94,Upwork,356
FL0431,Web Development,"JavaScript, HTML/CSS, React",1.8,junior,Africa,South Africa,Bachelor,21.05,17805.81,Freelancer,710
FL0432,Backend Development,"Python, Go, Java",5.0,mid,Middle East,UAE,Master,119.89,111812.35,Upwork,784
FL0433,Cybersecurity,"Cryptography, Network Security, Penetration Testing",5.6,senior,North America,Canada,Master,152.01,154378.02,Direct Client,124
FL0434,Mobile Development,"Flutter, iOS, Kotlin",6.9,senior,Eastern Europe,Romania,Bachelor,89.57,86937.11,Freelancer,642
FL0435,Cybersecurity,"Network Security, Security Audit, Cryptography",3.9,mid,Western Europe,France,Master,151.78,131742.6,Upwork,250
FL0436,Web Development,"HTML/CSS, Node.js, Angular",5.2,senior,Asia Pacific,Australia,Bachelor,142.06,128503.26,Direct Client,36
FL0437,Cybersecurity,"Security Audit, Network Security, Penetration Testing",4.1,mid,Western Europe,Germany,Master,152.41,128867.24,Upwork,276
FL0438,Web Development,"Angular, HTML/CSS, React",1.4,junior,Asia Pacific,India,Bachelor,14.63,13837.91,Direct Client,356
FL0439,AI/ML Engineering,"Computer Vision, Data Science, NLP",6.8,senior,Africa,South Africa,Bachelor,86.68,89552.12,Upwork,710
FL0440,Web Development,"Angular, React, Node.js",4.3,mid,Latin America,Argentina,Bachelor,59.39,52084.77,Upwork,32
FL0441,Blockchain,"Ethereum, Solidity, Web3",7.6,senior,Eastern Europe,Ukraine,Bachelor,114.73,99144.17,Freelancer,804
FL0442,Full Stack,"MongoDB, React, GraphQL",3.4,mid,Western Europe,UK,Master,140.71,117658.05,Direct Client,826
FL0443,Data Engineering,"SQL, Python, Data Warehousing",4.2,mid,Asia Pacific,Japan,Bachelor,107.82,109311.66,Upwork,392
FL0444,Mobile Development,"iOS, Android, React Native",9.4,senior,Western Europe,France,Self-taught,156.9,139988.82,Freelancer,250
FL0445,UI/UX Design,"Prototyping, Wireframing, Adobe XD",3.3,mid,Asia Pacific,India,Self-taught,26.43,26047.66,Upwork,356
FL0446,Blockchain,"Smart Contracts, Ethereum, Solidity",10.4,senior,North America,US,Bachelor,227.09,219087.52,LinkedIn,840
FL0447,Web Development,"JavaScript, HTML/CSS, React",3.4,mid,North America,US,Bachelor,131.79,121703.11,Upwork,840
FL0448,Data Engineering,"Spark, ETL, Python",8.1,senior,Eastern Europe,Romania,PhD,99.98,92496.11,Upwork,642
FL0449,Full Stack,"PostgreSQL, GraphQL, Node.js",10.0,senior,Middle East,UAE,Master,131.9,132517.37,LinkedIn,784
FL0450,Data Engineering,"Python, SQL, ETL",4.6,mid,Asia Pacific,India,Master,40.43,39185.04,Direct Client,356
FL0451,Mobile Development,"Flutter, iOS, React Native",3.2,mid,Eastern Europe,Romania,Bachelor,62.88,57463.38,Fiverr,642
FL0452,DevOps,"Kubernetes, CI/CD, Azure",2.2,mid,Asia Pacific,Philippines,Bachelor,46.59,47514.88,Toptal,608
FL0453,Backend Development,"PHP, Python, Java",8.8,senior,Middle East,UAE,Self-taught,109.84,95033.48,Direct Client,784
FL0454,Web Development,"JavaScript, Vue.js, Angular",3.8,mid,Asia Pacific,Philippines,Bachelor,33.42,32742.66,LinkedIn,608
FL0455,AI/ML Engineering,"Data Science, NLP, PyTorch",2.1,mid,Asia Pacific,China,Bachelor,59.39,47287.65,Fiverr,156
FL0456,Full Stack,"MongoDB, PostgreSQL, REST API",3.9,mid,North America,US,Master,127.81,135248.8,Upwork,840
FL0457,Web Development,"HTML/CSS, Node.js, JavaScript",5.8,senior,Eastern Europe,Poland,Master,62.88,59039.63,Toptal,616
FL0458,Blockchain,"Smart Contracts, DeFi, Ethereum",7.1,senior,Africa,South Africa,Master,76.54,73673.86,Direct Client,710
FL0459,UI/UX Design,"Figma, Adobe XD, Wireframing",4.2,mid,Middle East,UAE,Master,96.39,83515.2,Upwork,784
FL0460,Cybersecurity,"Network Security, Security Audit, Cryptography",11.4,senior,North America,Canada,Master,157.06,145826.69,Fiverr,124
FL0461,Backend Development,"Python, Go, C#",3.7,mid,Asia Pacific,China,Bachelor,43.21,43831.02,Direct Client,156
FL0462,Backend Development,"Go, PHP, C#",6.6,senior,North America,Canada,Bachelor,116.27,112106.84,Upwork,124
FL0463,Data Engineering,"BigQuery, Python, ETL",6.7,senior,Latin America,Argentina,Bachelor,64.24,53580.89,Upwork,32
FL0464,Blockchain,"Ethereum, Solidity, Web3",8.0,senior,North America,US,Self-taught,199.16,193108.6,Direct Client,840
FL0465,Mobile Development,"Android, React Native, Kotlin",5.4,senior,North America,US,Bachelor,142.17,143419.09,Fiverr,840
FL0466,AI/ML Engineering,"PyTorch, TensorFlow, Data Science",3.8,mid,North America,Canada,Master,152.88,141386.9,Upwork,124
FL0467,Data Engineering,"BigQuery, SQL, ETL",4.6,mid,Asia Pacific,India,Bachelor,42.51,33918.43,Direct Client,356
FL0468,AI/ML Engineering,"TensorFlow, NLP, Python",6.5,senior,Latin America,Mexico,PhD,79.16,79357.77,Upwork,484
FL0469,Blockchain,"Ethereum, Solidity, Web3",5.1,senior,Asia Pacific,India,Bachelor,40.18,33816.52,LinkedIn,356
FL0470,Cybersecurity,"Cryptography, Network Security, Security Audit",1.6,junior,Latin America,Argentina,Self-taught,34.8,26829.13,Direct Client,32
FL0471,Backend Development,"Java, Go, Ruby",3.0,mid,Latin America,Mexico,Bachelor,48.45,46332.96,Freelancer,484
FL0472,Blockchain,"Web3, Solidity, Smart Contracts",9.4,senior,North America,US,Bachelor,226.54,233632.74,LinkedIn,840
FL0473,Data Engineering,"ETL, Spark, Data Warehousing",5.9,senior,North America,Canada,Master,118.84,103598.66,Fiverr,124
FL0474,Blockchain,"DeFi, Ethereum, Web3",7.2,senior,Asia Pacific,India,Bachelor,58.74,51368.52,Direct Client,356
FL0475,UI/UX Design,"Sketch, Prototyping, Figma",5.6,senior,Asia Pacific,Australia,Master,109.85,110461.34,Direct Client,36
FL0476,UI/UX Design,"Figma, User Research, Adobe XD",3.6,mid,Asia Pacific,China,Bachelor,51.8,47717.38,Direct Client,156
FL0477,DevOps,"CI/CD, Kubernetes, Azure",7.1,senior,Africa,South Africa,Master,71.74,58273.74,Upwork,710
FL0478,Data Engineering,"Data Warehousing, SQL, Python",8.4,senior,Africa,South Africa,Self-taught,75.12,61882.17,Toptal,710
FL0479,Full Stack,"MongoDB, REST API, React",4.0,mid,Middle East,Israel,Bachelor,98.66,97534.82,Upwork,376
FL0480,DevOps,"Terraform, Azure, Docker",8.1,senior,Latin America,Argentina,Self-taught,74.52,70807.13,Upwork,32
FL0481,Mobile Development,"Android, Flutter, iOS",2.3,mid,Western Europe,Switzerland,Self-taught,121.78,118228.66,Upwork,756
FL0482,Mobile Development,"iOS, Swift, Kotlin",4.5,mid,North America,Canada,Bootcamp,97.74,86811.2,Direct Client,124
FL0483,AI/ML Engineering,"Data Science, Python, TensorFlow",5.2,senior,Eastern Europe,Romania,Master,118.88,119934.33,Upwork,642
FL0484,Data Engineering,"SQL, Spark, Data Warehousing",10.7,senior,Eastern Europe,Ukraine,Bachelor,85.25,82022.09,LinkedIn,804
FL0485,AI/ML Engineering,"Computer Vision, Data Science, PyTorch",4.4,mid,Western Europe,France,PhD,143.51,135118.42,Direct Client,250
FL0486,Web Development,"JavaScript, Vue.js, Node.js",10.2,senior,North America,US,Bootcamp,148.97,143224.23,Direct Client,840
FL0487,Web Development,"Vue.js, React, HTML/CSS",5.5,senior,Latin America,Argentina,Bootcamp,66.86,59013.97,Upwork,32
FL0488,Full Stack,"React, Node.js, GraphQL",9.5,senior,Latin America,Mexico,Self-taught,82.85,73531.41,Upwork,484
FL0489,Cybersecurity,"Network Security, Security Audit, Penetration Testing",7.0,senior,Asia Pacific,China,Bachelor,75.91,79577.13,Direct Client,156
FL0490,Data Engineering,"SQL, ETL, Python",3.3,mid,North America,US,Master,133.96,142484.16,Upwork,840
FL0491,Full Stack,"REST API, React, MongoDB",3.9,mid,Middle East,Israel,Master,91.94,78225.2,Upwork,376
FL0492,Cybersecurity,"Network Security, Cryptography, Penetration Testing",3.8,mid,Asia Pacific,Australia,Bootcamp,142.71,151580.03,Toptal,36
FL0493,DevOps,"CI/CD, Kubernetes, Azure",5.4,senior,Africa,South Africa,Bootcamp,70.94,69616.41,Direct Client,710
FL0494,AI/ML Engineering,"TensorFlow, Data Science, Computer Vision",8.2,senior,Africa,Nigeria,PhD,71.56,60239.65,Upwork,566
FL0495,UI/UX Design,"User Research, Figma, Wireframing",6.7,senior,Latin America,Argentina,Bachelor,64.06,61521.9,Direct Client,32
FL0496,UI/UX Design,"Adobe XD, Sketch, Figma",9.7,senior,Eastern Europe,Ukraine,Master,63.92,54117.89,Upwork,804
FL0497,Cybersecurity,"Penetration Testing, Security Audit, Network Security",3.6,mid,Eastern Europe,Ukraine,Bachelor,68.21,65922.99,Upwork,804
FL0498,Backend Development,"PHP, Java, C#",4.8,mid,Asia Pacific,Philippines,Bachelor,44.22,42301.88,Upwork,608
FL0499,UI/UX Design,"Sketch, User Research, Wireframing",2.7,mid,Eastern Europe,Romania,Bachelor,44.75,37236.0,LinkedIn,642
FL0500,Blockchain,"Ethereum, Solidity, Web3",7.0,senior,Latin America,Argentina,Bachelor,86.64,74601.76,Direct Client,32
